policy,per_gpu_rate,slo_attainment_completed,throughput_per_gpu_goodput_req_s,throughput_per_gpu_completed_req_s,ttft_s_p90,tpot_s_p90
fcfs,0.25,0.984375,0.2421595197649653,0.24600332166599645,0.1933914681896567,0.0278326394181027
fcfs,0.5,0.96484375,0.447959862507581,0.46438516803511487,0.19191815210506313,0.0322554190953572
fcfs,0.75,0.734375,0.47955437948676916,0.6526974185948711,0.2011019791476428,0.40839230597373966
fcfs,1.0,0.4765625,0.3401027607236375,0.7132288234772928,3.520976383704692,1.244242678341371
fcfs,1.25,0.26171875,0.18874917166478528,0.7194018534177986,13.779723551589996,1.5652709430150153
fcfs,1.5,0.25390625,0.18426671060799005,0.7229790877207584,20.314524863753466,1.7944433779693993
fcfs,1.75,0.21875,0.1598971715148197,0.7257913340194955,24.972482741996643,1.8590007479459818
fcfs,2.0,0.20703125,0.15157026963531256,0.7268864224719409,28.5464476452209,1.8924942263643942
fcfs,2.25,0.1953125,0.14375425836125905,0.7288529820831215,31.452537847496565,1.8987593606127686
fcfs,2.5,0.19140625,0.1412385836452694,0.7296550522702399,33.81956032607704,1.9095838194979087
fcfs,2.75,0.19140625,0.14152300958023925,0.731187766814323,35.80376905659213,1.9199908811545794
fcfs,3.0,0.1875,0.138574070825525,0.7309353682128623,37.42895105145871,1.932941301117784
fcfs,3.25,0.17578125,0.13037375292568715,0.7314303415374137,38.8838703318499,1.9444828139059243
fcfs,3.5,0.17578125,0.13045298153302595,0.7318487254344198,40.073745037615296,1.9506541196802363
fcfs,3.75,0.16015625,0.1187281372969077,0.7313140916179506,41.19951353706419,1.9571001259703185
fcfs,4.0,0.14453125,0.10755032366177195,0.7314077646482675,42.16381885791197,1.959692160400251
fcfs,4.25,0.14453125,0.10761100677244356,0.7319796205525664,42.90356170386075,1.9607149181643586
fcfs,4.5,0.13671875,0.1021151135609275,0.7317573260305319,43.63239208301529,1.9709032329171894
fcfs,4.75,0.1328125,0.09914845615856124,0.731879581043547,44.3337982919067,1.9778178586189945
fcfs,5.0,0.12890625,0.0963128025830714,0.7321597750550175,44.94614351037889,1.992633367019395
phase,0.25,0.9765625,0.2397471397024183,0.24552918621310038,0.19332449482753872,0.02968258653168695
phase,0.5,0.984375,0.4544542904833083,0.46172939841887356,0.18885035673156375,0.0316102529504622
phase,0.75,0.94921875,0.5668529262583828,0.5973413279196373,0.19663251172751184,0.0497833440325318
phase,1.0,0.7265625,0.43693540485620674,0.5971611049897498,0.1995632933452725,0.2858315830607898
phase,1.25,0.5625,0.3392769521904989,0.5977587928927115,1.5467551308684044,0.8366692950141925
phase,1.5,0.40234375,0.2446335693925547,0.5963586792955597,7.8691978079266836,1.039406695772583
phase,1.75,0.359375,0.21745783095330157,0.5895431738487069,14.865443497989325,1.201800355892205
phase,2.0,0.32421875,0.19803308656317098,0.600670481739203,20.385649105906484,1.2453548186216947
phase,2.25,0.3125,0.19117888563555918,0.5977004691510632,21.786480248533188,1.3400720451062431
phase,2.5,0.2734375,0.1683762178113124,0.595466929629521,23.614441412035376,1.307791299193373
phase,2.75,0.2421875,0.15024410533692675,0.602133615437716,27.635425754264,1.2622181782700737
phase,3.0,0.22265625,0.13726366948323565,0.5950404686398977,30.213902001082896,1.2168910632151868
phase,3.25,0.21484375,0.13279866551391775,0.5906175984594537,36.2025405283086,1.5874159175918119
phase,3.5,0.19921875,0.12186156413621915,0.5896195584264368,37.451398379262535,1.5022756140368676
phase,3.75,0.1953125,0.11971504248561804,0.5892595066637862,39.29901784276589,1.572846883415865
phase,4.0,0.17578125,0.1081794253052219,0.587294355488484,38.428752211946986,1.5532784055932565
phase,4.25,0.1796875,0.11180448098989249,0.5880165277262139,38.64973755180836,1.6903048882584761
phase,4.5,0.17578125,0.1093171208037091,0.5885867999182848,39.358947986457494,1.6997707897373895
phase,4.75,0.1484375,0.09379767649151825,0.5923058149513503,41.4569982743822,1.8159379675358325
phase,5.0,0.15234375,0.09570297026700675,0.5889821831303386,39.17153356354683,1.4016243046914623
vllm,0.75,0.96484375,0.6890717016055377,0.7142245244171761,0.20609359284862877,0.0324375810385876
vllm,1.0,0.9453125,0.8734937857807032,0.9241572034577024,0.2207095704041421,0.0354817242877732
vllm,1.25,0.93359375,1.0420606901450646,1.1163883101494263,0.225651488173753,0.038202407991971846
vllm,1.5,0.93359375,1.2001997438504408,1.285548483098113,0.2262593948282301,0.0414198341403675
vllm,1.75,0.921875,1.2971084505867703,1.4060319680538496,0.23430830836296074,0.044649181150256054
vllm,2.0,0.89453125,1.3573717153986244,1.5163497566638873,0.24484305307269094,0.04977598439394065
vllm,2.25,0.87890625,1.4207828092987116,1.6159909804141965,0.2692374723032116,0.0527945292375229
vllm,2.5,0.734375,1.2503391296057556,1.7025894530801777,1.106954509671777,0.05482561731355535
vllm,2.75,0.5703125,0.9903059656718904,1.764350443228706,2.6424923284910617,0.058759885800204054
vllm,3.0,0.3984375,0.7131614579384957,1.780854343245578,4.240969909075648,0.06258648598214164
